danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,primary_genre
0.648,0.734,0,-6.289,1,0.298,0.0,0.0938,0.196,167.044,228433,Rap
0.681,0.659,9,-6.405,1,0.268,8.17e-06,0.11,0.225,156.004,173294,Rap
0.8,0.392,11,-15.392,1,0.358,1.66e-05,0.448,0.285,144.999,163931,Rap
0.809,0.581,10,-8.294,0,0.195,0.000513,0.345,0.369,149.949,132038,Rap
0.823,0.798,0,-5.444,1,0.172,0.013,0.404,0.384,140.062,179181,Rap
0.854,0.578,5,-8.824,1,0.0889,1.1e-06,0.0844,0.306,137.025,212472,Pop
0.918,0.684,11,-9.208,0,0.285,3.16e-06,0.0907,0.774,140.077,116710,Rap
0.77,0.564,0,-5.615,1,0.0421,0.00306,0.103,0.348,97.35,177463,Rap
0.819,0.823,11,-7.491,1,0.132,0.000422,0.0676,0.805,82.5,161804,Rap
0.776,0.785,9,-4.085,0,0.058,0.000807,0.169,0.5,98.036,210547,Pop
0.644,0.532,0,-6.541,1,0.0562,0.0,0.266,0.64,92.039,217533,Pop
0.69,0.32,4,-6.037,0,0.0273,1.2e-05,0.104,0.43,99.997,194739,R&B
0.792,0.505,5,-5.966,0,0.0619,0.000531,0.121,0.453,150.057,200000,R&B
0.465,0.391,2,-8.574,1,0.285,0.0,0.0918,0.175,171.238,184560,R&B
0.753,0.708,9,-3.788,1,0.0788,0.0,0.0922,0.61,136.991,202107,R&B
0.445,0.456,6,-8.05,0,0.302,0.000178,0.179,0.13,189.96,217947,Pop
0.518,0.253,4,-10.365,0,0.0838,0.0,0.32,0.125,138.321,195093,Pop
0.657,0.663,9,-3.79,1,0.0231,1.57e-05,0.196,0.598,100.012,200460,R&B
0.648,0.382,6,-7.85,1,0.0396,0.0,0.393,0.408,90.099,209734,Pop
0.768,0.501,2,-10.819,1,0.0884,3.55e-05,0.17,0.828,120.129,163642,Pop
0.691,0.572,0,-7.745,1,0.0652,6.34e-06,0.168,0.697,102.018,144383,Pop
0.674,0.343,10,-7.059,0,0.0286,1.15e-05,0.124,0.292,146.019,211337,Pop
0.622,0.529,7,-7.67,1,0.0849,9.89e-05,0.165,0.683,82.324,146728,Pop
0.694,0.575,7,-8.308,1,0.0341,0.000407,0.123,0.31,116.958,189791,Pop
0.698,0.44,9,-5.878,0,0.037,2.42e-06,0.134,0.586,80.067,196256,Pop
0.66,0.642,11,-6.641,0,0.0474,3.22e-06,0.0747,0.401,90.014,165142,Pop
0.839,0.342,0,-11.277,1,0.236,0.0,0.101,0.715,92.455,174006,Pop
0.661,0.661,9,-6.678,1,0.0358,0.0,0.0896,0.548,93.043,198710,Pop
0.721,0.49,0,-7.922,1,0.0414,0.0012,0.108,0.502,75.005,169656,Pop
0.352,0.35,5,-6.439,0,0.0377,0.0,0.113,0.376,91.525,158769,Pop
0.758,0.584,10,-6.247,1,0.0872,0.0,0.18,0.631,109.949,170182,Pop
0.614,0.42,6,-6.953,0,0.053,5.43e-05,0.212,0.336,150.054,176081,Pop
0.413,0.476,3,-7.014,1,0.0269,0.000105,0.552,0.149,79.96,212873,Rap
0.628,0.585,3,-7.539,0,0.0723,0.0,0.154,0.704,74.999,169600,Pop
0.628,0.666,3,-4.922,0,0.08,0.0,0.17,0.688,75.036,169600,Pop
0.575,0.701,11,-8.448,0,0.0514,0.0,0.139,0.324,173.972,193107,Pop
0.767,0.759,1,-3.722,0,0.0824,0.0,0.167,0.56,140.006,208393,Rap
0.762,0.295,10,-16.249,0,0.117,0.00531,0.234,0.237,139.921,136671,Rap
0.805,0.556,2,-9.103,1,0.123,0.0,0.439,0.707,130.009,206682,Rap
0.939,0.48,5,-8.162,0,0.198,0.0,0.119,0.849,119.975,147500,Rap
0.572,0.676,11,-8.975,0,0.0612,1.22e-06,0.172,0.385,173.983,193107,Pop
0.805,0.556,2,-9.103,1,0.123,0.0,0.439,0.707,130.009,206682,Rap
0.824,0.494,1,-10.46,1,0.189,1.3e-06,0.355,0.256,100.054,226800,Rap
0.866,0.466,8,-11.722,1,0.0475,0.0,0.106,0.756,110.03,184909,Rap
0.939,0.48,5,-8.162,0,0.198,0.0,0.119,0.849,119.975,147500,Rap
0.706,0.461,7,-10.538,1,0.116,0.0,0.0947,0.348,136.019,267353,Rap
0.797,0.53,9,-11.636,0,0.407,0.0,0.0872,0.665,159.962,164094,Rap
0.882,0.631,11,-9.783,0,0.208,0.0,0.0704,0.84,140.028,162000,Rap
0.651,0.677,4,-7.769,1,0.138,0.0,0.247,0.324,129.923,181840,Pop
0.762,0.686,10,-6.113,0,0.176,0.0,0.0846,0.385,89.992,126962,Rap
0.316,0.379,0,-6.402,1,0.0467,0.0,0.0727,0.345,69.489,104219,Rap
0.587,0.645,7,-5.13,1,0.134,0.0,0.17,0.708,95.061,104985,Rap
0.762,0.686,10,-6.113,0,0.176,0.0,0.0846,0.385,89.992,126962,Rap
0.779,0.871,1,-5.406,1,0.29,2.74e-06,0.0995,0.532,162.055,126043,Rap
0.651,0.677,4,-7.769,1,0.138,0.0,0.247,0.324,129.923,181840,Pop
0.598,0.824,11,-5.453,1,0.0726,0.000631,0.386,0.591,88.025,214795,Rap
