,word,count,artist,weight
1363,deserve,3,Rich Brian,0.0005698005698005698
1308,play,3,Rich Brian,0.0005698005698005698
131,lovin,3,Rich Brian,0.0005698005698005698
1501,fault,3,Rich Brian,0.0005698005698005698
140,mile,3,Rich Brian,0.0005698005698005698
142,shoes,3,Rich Brian,0.0005698005698005698
151,rollin,3,Rich Brian,0.0005698005698005698
152,deep,3,Rich Brian,0.0005698005698005698
1324,blow,3,Rich Brian,0.0005698005698005698
192,heat,3,Rich Brian,0.0005698005698005698
1054,parents,3,Rich Brian,0.0005698005698005698
1166,single,3,Rich Brian,0.0005698005698005698
640,sad,3,Rich Brian,0.0005698005698005698
401,white,3,Rich Brian,0.0005698005698005698
1008,might,3,Rich Brian,0.0005698005698005698
958,hear,3,Rich Brian,0.0005698005698005698
968,slow,3,Rich Brian,0.0005698005698005698
950,future,3,Rich Brian,0.0005698005698005698
1015,team,3,Rich Brian,0.0005698005698005698
944,kick,3,Rich Brian,0.0005698005698005698
353,twenty,3,Rich Brian,0.0005698005698005698
352,smiles,3,Rich Brian,0.0005698005698005698
943,club,3,Rich Brian,0.0005698005698005698
1030,wrong,3,Rich Brian,0.0005698005698005698
366,meant,3,Rich Brian,0.0005698005698005698
1001,g,3,Rich Brian,0.0005698005698005698
1328,medoin,2,Rich Brian,0.0003798670465337132
698,skin,2,Rich Brian,0.0003798670465337132
1532,feels,2,Rich Brian,0.0003798670465337132
743,sleep,2,Rich Brian,0.0003798670465337132
690,drawers,2,Rich Brian,0.0003798670465337132
1325,confettison,2,Rich Brian,0.0003798670465337132
1288,front,2,Rich Brian,0.0003798670465337132
1327,absinthe,2,Rich Brian,0.0003798670465337132
747,memories,2,Rich Brian,0.0003798670465337132
1536,nice,2,Rich Brian,0.0003798670465337132
688,reckless,2,Rich Brian,0.0003798670465337132
1329,forgive,2,Rich Brian,0.0003798670465337132
686,nani,2,Rich Brian,0.0003798670465337132
1330,toxic,2,Rich Brian,0.0003798670465337132
1331,kidney,2,Rich Brian,0.0003798670465337132
683,campus,2,Rich Brian,0.0003798670465337132
1523,bitches,2,Rich Brian,0.0003798670465337132
700,walls,2,Rich Brian,0.0003798670465337132
1303,bought,2,Rich Brian,0.0003798670465337132
901,set,2,Rich Brian,0.0003798670465337132
976,help,2,Rich Brian,0.0003798670465337132
1782,women,2,Rich Brian,0.0003798670465337132
1545,blessings,2,Rich Brian,0.0003798670465337132
1542,beers,2,Rich Brian,0.0003798670465337132
732,wonderin,2,Rich Brian,0.0003798670465337132
1541,hoesthe,2,Rich Brian,0.0003798670465337132
1540,bleedin,2,Rich Brian,0.0003798670465337132
733,mama,2,Rich Brian,0.0003798670465337132
973,raised,2,Rich Brian,0.0003798670465337132
741,past,2,Rich Brian,0.0003798670465337132
912,hundred,2,Rich Brian,0.0003798670465337132
970,low,2,Rich Brian,0.0003798670465337132
1521,whole,2,Rich Brian,0.0003798670465337132
1297,givin,2,Rich Brian,0.0003798670465337132
709,fix,2,Rich Brian,0.0003798670465337132
1539,ways,2,Rich Brian,0.0003798670465337132
1310,bakery,2,Rich Brian,0.0003798670465337132
1955,correct,2,Rich Brian,0.0003798670465337132
965,suck,2,Rich Brian,0.0003798670465337132
1339,party,2,Rich Brian,0.0003798670465337132
671,glow,2,Rich Brian,0.0003798670465337132
918,air,2,Rich Brian,0.0003798670465337132
1383,hittin,2,Rich Brian,0.0003798670465337132
1385,fist,2,Rich Brian,0.0003798670465337132
1388,fat,2,Rich Brian,0.0003798670465337132
1389,attitude,2,Rich Brian,0.0003798670465337132
920,moonlight,2,Rich Brian,0.0003798670465337132
1478,angel,2,Rich Brian,0.0003798670465337132
1401,meet,2,Rich Brian,0.0003798670465337132
1473,blame,2,Rich Brian,0.0003798670465337132
1805,landed,2,Rich Brian,0.0003798670465337132
1808,mace,2,Rich Brian,0.0003798670465337132
1464,flight,2,Rich Brian,0.0003798670465337132
1414,drinkin,2,Rich Brian,0.0003798670465337132
1454,smokin,2,Rich Brian,0.0003798670465337132
932,kiss,2,Rich Brian,0.0003798670465337132
921,glowsno,2,Rich Brian,0.0003798670465337132
1374,rappin,2,Rich Brian,0.0003798670465337132
1340,perfect,2,Rich Brian,0.0003798670465337132
672,must,2,Rich Brian,0.0003798670465337132
681,necklace,2,Rich Brian,0.0003798670465337132
1560,borin,2,Rich Brian,0.0003798670465337132
913,degreeswhy,2,Rich Brian,0.0003798670465337132
959,bed,2,Rich Brian,0.0003798670465337132
679,anxious,2,Rich Brian,0.0003798670465337132
678,doubt,2,Rich Brian,0.0003798670465337132
1344,hang,2,Rich Brian,0.0003798670465337132
1514,try,2,Rich Brian,0.0003798670465337132
675,house,2,Rich Brian,0.0003798670465337132
915,freeit,2,Rich Brian,0.0003798670465337132
1348,flew,2,Rich Brian,0.0003798670465337132
1361,wear,2,Rich Brian,0.0003798670465337132
951,bright,2,Rich Brian,0.0003798670465337132
916,oftenbumpin,2,Rich Brian,0.0003798670465337132
917,radio,2,Rich Brian,0.0003798670465337132
673,proudthinkin,2,Rich Brian,0.0003798670465337132
1365,internet,2,Rich Brian,0.0003798670465337132
1287,broke,2,Rich Brian,0.0003798670465337132
1045,country,2,Rich Brian,0.0003798670465337132
994,proceed,2,Rich Brian,0.0003798670465337132
1861,door,2,Rich Brian,0.0003798670465337132
1862,ondon,2,Rich Brian,0.0003798670465337132
1863,animaldon,2,Rich Brian,0.0003798670465337132
1864,goslo,2,Rich Brian,0.0003798670465337132
889,months,2,Rich Brian,0.0003798670465337132
1865,mo,2,Rich Brian,0.0003798670465337132
1095,bars,2,Rich Brian,0.0003798670465337132
1866,lose,2,Rich Brian,0.0003798670465337132
1100,member,2,Rich Brian,0.0003798670465337132
1837,boy,2,Rich Brian,0.0003798670465337132
1867,controllomo,2,Rich Brian,0.0003798670465337132
1103,tv,2,Rich Brian,0.0003798670465337132
1868,hoeairbnb,2,Rich Brian,0.0003798670465337132
1869,homeshe,2,Rich Brian,0.0003798670465337132
1114,hatin,2,Rich Brian,0.0003798670465337132
1116,big,2,Rich Brian,0.0003798670465337132
1125,nah,2,Rich Brian,0.0003798670465337132
831,aim,2,Rich Brian,0.0003798670465337132
846,paid,2,Rich Brian,0.0003798670465337132
1031,meall,2,Rich Brian,0.0003798670465337132
