,track,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics,filtered_lyrics
163,BOTYFREESTYLE#1,BOY OF THE YEAR,Warren Hue,39,Warren Hue,2022-07-29,5urLHkxDBRUtgrIpLhU564,0.726,0.713,0,-5.103,1,0.281,0.0,0.337,0.866,165.017,65620,4,missing,missing
164,I$$EY,BOY OF THE YEAR,Warren Hue,41,Warren Hue,2022-07-29,5T0hgsHKITWOx826JrBkRM,0.893,0.728,1,-6.893,1,0.323,2.09e-06,0.117,0.588,140.082,118111,4,missing,missing
165,OK WORD!,BOY OF THE YEAR,Warren Hue,41,Warren Hue,2022-07-29,7Azf4U4EDazpJaPcblrdC9,0.714,0.594,0,-5.731,1,0.0333,0.0,0.0981,0.452,109.97,215255,4,missing,missing
166,"I NEED U, IN THE SUMMERTIME","I NEED U, IN THE SUMMERTIME",Warren Hue,49,Chasu,2020-08-08,5NqIHUcwfBDpc1rgTxKvyG,0.723,0.851,0,-3.666,0,0.0559,0.0,0.0736,0.984,150.026,158076,4,missing,missing
167,WHY IS MY WIFI SLOW?,WHY IS MY WIFI SLOW?,Warren Hue,24,Warren Hue,2019-03-15,5Iz235YbxRjdrsTiWvRI58,0.792,0.457,11,-14.631,0,0.438,0.0,0.0712,0.429,185.965,157013,4,missing,missing
168,Beyoncé,Beyoncé,Warren Hue,27,Warren Hue,2019-07-24,4R4kwRt7eQyF1Las2FIEsa,0.731,0.37,4,-5.505,0,0.107,0.000149,0.0846,0.23,164.047,212012,4,missing,missing
169,Charged!,Charged!,Warren Hue,0,Warren Hue,2021-04-16,2wXfOBjmMGKz4ofYQZxJa7,0.803,0.749,9,-6.182,0,0.0545,0.00262,0.108,0.663,117.964,135587,4,missing,missing
170,do u miss me?,SUGARTOWN,Warren Hue,34,Chasu,2019-12-13,3J5fAKjThxep1NjaxRyDhT,0.83,0.539,1,-9.464,0,0.0375,0.0,0.106,0.537,135.969,173051,4,missing,missing
171,no violence!,SUGARTOWN,Warren Hue,28,A. Nayaka,2019-12-13,1BE0ynt2xvHyhZu38Pn5pJ,0.685,0.44,6,-12.157,0,0.404,0.0,0.106,0.299,97.472,246480,4,missing,missing
172,458 gummy st.,SUGARTOWN,Warren Hue,32,Chasu,2019-12-13,68B9C88nDiFc88pnjlTctm,0.862,0.76,4,-7.772,0,0.183,0.0,0.0792,0.448,150.05,183200,4,missing,missing
173,Getcho Mans,Brightside,Rich Brian,55,Warren Hue,2022-01-20,10b0n4KwuRyNteJ9WNjrdj,0.641,0.638,1,-9.975,1,0.214,1.26e-05,0.22,0.313,174.929,211307,4,missing,missing
174,W (with yvngxchris),W (with yvngxchris),Warren Hue,38,yvngxchris,2022-03-25,4pFkivUXTiGcEQS4dfcVc6,0.719,0.504,6,-6.449,1,0.422,0.0,0.215,0.493,164.926,151446,4,missing,missing
175,IN MY BAG (with tobi lou),BOY OF THE YEAR,Warren Hue,54,tobi lou,2022-07-29,3Vdu1sTIUi45NZvguJDmhk,0.705,0.731,3,-4.769,1,0.043,0.0,0.278,0.893,75.504,219676,4,missing,missing
176,W (with yvngxchris),BOY OF THE YEAR,Warren Hue,39,yvngxchris,2022-07-29,4U2BfAHYdfDG25XL9eG0BO,0.719,0.504,6,-6.449,1,0.422,0.0,0.215,0.493,164.926,151446,4,missing,missing
