,Unnamed: 0,track,artist,genre,genres
0,0,BIBI Vengeance,BIBI,,"R&B, K-R&B, Reggaetón, South Korea, Genius Korea, Korean, K-Solo"
1,1,KAZINO,BIBI,,"R&B, South Korea, Trap, Korean"
2,2,Animal Farm,BIBI,,"R&B, Korean, K-R&B, K-Solo, South Korea, Genius Korea"
3,3,BAD SAD AND MAD,BIBI,,"R&B, K-R&B, Korean, K-Solo, South Korea, Genius Korea"
4,4,Restless,BIBI,,"R&B, South Korea, K-R&B, Korean"
5,5,MotoSpeed 24,BIBI,,"R&B, K-R&B, Korean, K-Solo, South Korea, Genius Korea"
6,6,Maybe if,BIBI,,"Pop, K-OST, Ballad, Korean, K-Solo, Soundtrack, South Korea, Genius Korea"
7,7,JOTTO,BIBI,,"R&B, K-R&B, South Korea, Genius Korea, Korean, K-Solo"
8,8,PADO,BIBI,,"R&B, K-R&B, Korean, K-Solo, South Korea, Genius Korea"
9,9,Witch Hunt,BIBI,,"R&B, K-Hip-Hop, South Korea, Genius Korea, Korean, K-Solo"
10,10,PIRI the dog,BIBI,,"R&B, K-R&B, South Korea, Korean, Genius Korea, K-Solo"
11,11,Blade,BIBI,,"R&B, K-R&B, South Korea, Genius Korea, Korean, K-Solo"
12,12,Eat My Love,BIBI,,"R&B, South Korea, Genius Korea, Korean, K-Solo, K-R&B"
13,13,Birthday Cake,BIBI,,"R&B, South Korea, Genius Korea, K-Solo, K-R&B"
14,14,Wet Nightmare,BIBI,,"R&B, K-R&B, K-Solo, South Korea, Genius Korea, Korean"
15,15,NAAN,BIBI,,"R&B, Soundtrack, South Korea, K-Solo, Korean, K-R&B, K-OST"
16,16,Fly with me,BIBI,,R&B
17,17,Timeless,BIBI,,"Rock, K-Rock, Korean, K-Solo, K-OST, Soundtrack, Genius Korea, South Korea"
18,18,Give More Care Less,BIBI,,"R&B, South Korea, Korean, Soul"
19,19,Sparkling,CHUNG HA,,"Pop, Synth-Pop, Nu Disco, K-Pop (케이팝), K-Solo, South Korea, Genius Korea, Korean"
20,20,XXXX,CHUNG HA,,"R&B, Pop Rap, K-R&B, K-Solo, South Korea, Genius Korea, Korean"
21,21,Louder,CHUNG HA,,"Pop, K-Pop (케이팝), K-Solo, South Korea, Genius Korea, Korean"
22,22,California Dream,CHUNG HA,,"Pop, K-Pop (케이팝), K-Solo, South Korea, Genius Korea, Korean"
23,23,Good Night My Princess,CHUNG HA,,"Pop, Ballad, K-Ballad, K-Solo, South Korea, Genius Korea, Korean"
24,24,Love Me Out Loud,CHUNG HA,,"Pop, K-Pop (케이팝), K-Solo, South Korea, Genius Korea, Korean"
25,25,Nuh-Uh,CHUNG HA,,"Pop, K-Solo, South Korea, Genius Korea, Korean"
26,26,A Star in the dawn,CHUNG HA,,"Pop, Korean, K-Solo, K-OST, K-Ballad, South Korea, Genius Korea, Soundtrack"
27,27,Killing Me,CHUNG HA,,"Pop, Dance-Pop, Korean, K-Solo, K-Pop (케이팝), South Korea, Genius Korea"
28,28,Someday,CHUNG HA,,"Pop, Korean, Ballad, Soundtrack, K-OST, K-Ballad, K-Solo, South Korea, Genius Korea"
29,29,Bicycle,CHUNG HA,,"Rap, Pop, Hip-Hop, Trap, K-Solo, South Korea, Korean, K-Pop (케이팝)"
30,30,X,CHUNG HA,,"Pop, K-Ballad, K-Pop (케이팝), South Korea, K-Solo, Korean, Genius Korea"
31,31,Stay Tonight,CHUNG HA,,"Pop, Disco, Deep House, K-Solo, K-Pop (케이팝), House, Nu Disco, Korean, Genius Korea"
32,32,Masquerade,CHUNG HA,,"Pop, South Korea, Korean, K-Solo, K-Pop (케이팝)"
33,33,Flying on Faith,CHUNG HA,,"Pop, Genius Korea, South Korea, K-Solo, K-Pop (케이팝)"
34,34,Luce Sicut Stellae,CHUNG HA,,"Pop, Genius Korea, South Korea, K-Solo, K-Pop (케이팝), Korean"
35,35,Bother Me,CHUNG HA,,"Pop, South Korea, Korean, K-Solo, K-Pop (케이팝)"
36,36,Chill,CHUNG HA,,"Pop, South Korea, K-Solo, Korean, K-Pop (케이팝)"
37,37,All Night Long,CHUNG HA,,"Pop, K-R&B, South Korea, K-Solo, Korean, K-Pop (케이팝)"
38,38,Everybody Has,CHUNG HA,,"Pop, South Korea, Genius Korea, K-R&B, K-Solo, Korean, K-Ballad, K-Pop (케이팝)"
39,39,Come N Goes,CHUNG HA,,"Pop, Genius Korea, South Korea, Korean, K-Solo, K-Pop (케이팝)"
40,40,Roller Coaster,CHUNG HA,,"Pop, Alternative R&B, UK Garage, K-Solo, K-Pop (케이팝), South Korea, Dance, Korean, Genius Korea"
41,41,Snapping,CHUNG HA,,"Pop, Dance-Pop, Dance, K-Solo, K-Pop (케이팝), South Korea, Korean, Genius Korea"
42,42,Bad Boy,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Genius Korea, Korean"
43,43,Love U,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Korean, Genius Korea"
44,44,Chica,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Korean, Genius Korea"
45,45,Be Yourself,CHUNG HA,,"Pop, Genius Korea"
46,46,My Friend,CHUNG HA,,"Pop, K-R&B, South Korea, Korean, Genius Korea"
47,47,Everybody Has,CHUNG HA,,"Pop, South Korea, Genius Korea, K-R&B, K-Solo, Korean, K-Ballad, K-Pop (케이팝)"
48,48,Young In Love,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Korean, Genius Korea"
49,49,Call It Love,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Korean, Genius Korea"
50,50,Flourishing,CHUNG HA,,"Pop, K-Solo, K-R&B, K-Pop (케이팝), South Korea, Korean, Genius Korea"
51,51,BB,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Instrumental, Genius Korea"
52,52,Cherry Kisses,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Korean, Genius Korea"
53,53,Drive,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Korean, Genius Korea"
54,54,From Now On,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Korean, Genius Korea"
55,55,How about you,CHUNG HA,,"Pop, Soundtrack, Genius Korea, Korean"
56,56,Offset,CHUNG HA,,"Pop, South Korea, Genius Korea, Korean"
57,57,Do It,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Genius Korea, Korean"
58,58,Bad Boy,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Genius Korea, Korean"
59,59,Remind of You,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Korean, Genius Korea"
60,60,Hands on Me,CHUNG HA,,"Pop, South Korea, Genius Korea, Korean"
61,61,Make a Wish,CHUNG HA,,"Pop, South Korea, Genius Korea, Korean"
62,62,Cosmic Dust,CHUNG HA,,"Pop, K-Ballad, K-Pop (케이팝), South Korea, Genius Korea, Ballad, Korean"
63,63,Week,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Genius Korea, Korean"
64,64,Week,CHUNG HA,,"Pop, K-Pop (케이팝), South Korea, Genius Korea, Korean"
65,65,Pit-A-Pat,CHUNG HA,,"Pop, Genius Korea, Soundtrack"
66,66,Inside,Dumbfoundead,,R&B
67,67,Hyung,Dumbfoundead,,"Rap, Korean"
68,68,Cool and Calm,Dumbfoundead,,Rap
69,69,Water,Dumbfoundead,,Rap
70,70,Harambe,Dumbfoundead,,Rap
71,71,Outside,Dumbfoundead,,R&B
72,72,Rocket Man,Dumbfoundead,,Rap
73,73,Ganghis Khan,Dumbfoundead,,Rap
74,74,Safe,Dumbfoundead,,Rap
75,75,Kill Me,Dumbfoundead,,Rap
76,76,We Might Die,Dumbfoundead,,Rap
77,77,Are We There Yet,Dumbfoundead,,Rap
78,78,All Alone,Dumbfoundead,,"Rap, South Korea, Genius Korea"
79,79,Clear,Dumbfoundead,,Rap
80,80,Growing Young,Dumbfoundead,,Rap
81,81,Murals,Dumbfoundead,,Rap
82,82,Different Galaxies,Dumbfoundead,,Rap
83,83,Korean Jesus,Dumbfoundead,,Rap
84,84,Green,Dumbfoundead,,Rap
85,85,New Chick,Dumbfoundead,,Rap
86,86,Mellow Yellow,Dumbfoundead,,Rap
87,87,BALI,Rich Brian,,"Rap, West Coast, Indonesia"
88,88,Iced Out Gold Chain,Guapdad 4000,,"Rap, Hyphy, West Coast, Cloud Rap"
89,89,Black Iverson,Guapdad 4000,,"Rap, Trap"
90,90,Red Flags,Guapdad 4000,,Rap
91,91,Alpha,Guapdad 4000,,Rap
92,92,Platinum Falcon,Guapdad 4000,,Rap
93,93,Cheap,Guapdad 4000,,Rap
94,94,Hoe,Guapdad 4000,,Rap
95,95,Trade Places With Them Jeans,Guapdad 4000,,Rap
96,96,I Need Bands,Guapdad 4000,,Rap
97,97,Greedy,Guapdad 4000,,Rap
98,98,Money,Guapdad 4000,,"Rap, Theme Song, UK Rap, French Rap"
99,99,California,Guapdad 4000,,Rap
100,100,Bitch Im On,Guapdad 4000,,Rap
101,101,Storm,Higher Brothers,,"Rap, China"
102,102,Made In China,Higher Brothers,,"Rap, Chicago Rap, Chinese Hip-Hop, China"
103,103,Empire,Higher Brothers,,"Rap, Chinese Hip-Hop, China"
104,104,Flexing So Hard,Higher Brothers,,"Rap, Chinese Hip-Hop, China, Trap"
105,105,Flo Rida,Higher Brothers,,"Rap, Chinese Hip-Hop, Trap, China"
106,106,WeChat,Higher Brothers,,"Rap, K-Hip-Hop, South Korea, Korean, Chinese Hip-Hop, China"
107,107,Gong Xi Fa Cai,Higher Brothers,,"Rap, Chinese Hip-Hop, China"
108,108,Isabellae,Higher Brothers,,"Rap, Chinese Hip-Hop, China"
109,109,16 Hours,Higher Brothers,,"Rap, Chinese Hip-Hop, Trap, China"
110,110,Diamond,Higher Brothers,,"Rap, Chinese Hip-Hop, China, Trap"
111,111,Young Master,Higher Brothers,,"Rap, Chinese Hip-Hop, China"
112,112,Nothing Wrong,Higher Brothers,,Rap
113,113,Yahh,Higher Brothers,,"Rap, Chinese Hip-Hop, China"
114,114,Room Service,Higher Brothers,,"Rap, Chinese Hip-Hop, China"
115,115,Wudidong,Higher Brothers,,"Rap, Chinese Hip-Hop, China"
116,116,Drive You Home,Jackson Wang,,"R&B, Pop, Soul Pop, Soul, Hip-Hop"
117,117,LMLY,Jackson Wang,,"Pop, C-Pop, China, Genius Korea"
118,118,Blow,Jackson Wang,,"Rock, C-Pop, China, Hong Kong, Genius Korea"
119,119,100 Ways,Jackson Wang,,"Pop, Rap, Pop-Rock"
120,120,Come Alive,Jackson Wang,,"Rock, Alternative Rock, China, Hong Kong"
